id;tenant_id;sku;name;brand;category;price;tax_rate;is_active;is_deleted;created_at;updated_at
1;23324;Account;website quantify;support navigate;Chilean reboot Dynamic;70131;47;true;true;2026-03-04T02:54:15;2026-03-04T08:15:32
2;88209;Unbranded Soap;applications Metical;throughput;Internal intermediate;30312;49;false;false;2026-03-03T19:18:32;2026-03-03T16:58:04
3;51217;intranet;neutral;Bike;Computer CFP orange;9548;46;true;true;2026-03-03T10:55:36;2026-03-04T01:19:09
4;58781;indigo JSON Mexico;Steel;solutions;Prairie;14557;64;true;false;2026-03-03T10:34:58;2026-03-04T06:07:06
5;22423;Shoes;Ball pixel;Account;Cheese Consultant online;80952;30;true;false;2026-03-03T14:00:05;2026-03-04T05:43:56
6;8650;Arizona mobile;AGP lavender;navigate brand up;systems Gorgeous;6953;94;false;false;2026-03-03T18:17:22;2026-03-04T06:48:22
7;27583;Cambridgeshire Chair;Ukraine;Chicken Account transmit;clicks-and-mortar;3551;89;true;true;2026-03-03T21:09:28;2026-03-03T20:31:17
8;1215;Rustic magenta transitional;bypassing Chief interactive;online Home Vista;Sausages Tuna;42121;33;true;true;2026-03-04T07:21:06;2026-03-03T22:33:25
9;67453;executive;Assistant Berkshire program;Accounts Borders;Concrete capability synthesizing;19001;34;false;false;2026-03-03T11:31:02;2026-03-04T02:38:02
10;33901;Phased;Brunei sky;Engineer generating;portals Berkshire intuitive;67526;14;false;false;2026-03-03T19:33:12;2026-03-03T20:30:57
